Fusion Material 1,Fusion Material 2,Fusion Result
Omega,Omega,Flaemis
Omega,Megami,Vile
Omega,Deity,Tyrant
Omega,Vile,Dragon
Omega,Snake,Kishin
Omega,Dragon,Touki
Omega,Divine,Deity
Omega,Avian,Kishin
Omega,Fallen,Vile
Omega,Avatar,Wilder
Omega,Beast,Avatar
Omega,Wilder,Fallen
Omega,Genma,Megami
Omega,Fairy,Ghost
Omega,Tyrant,Deity
Omega,Kishin,Megami
Omega,Touki,Femme
Omega,Jaki,Kishin
Omega,Femme,Megami
Omega,Ghost,Touki
Omega,Fiend,Vile
Omega,Hero,Megami
Megami,Omega,Vile
Megami,Megami,Aquans
Megami,Deity,Kishin
Megami,Vile,Omega
Megami,Snake,Fairy
Megami,Dragon,Jaki
Megami,Divine,Avatar
Megami,Avian,Divine
Megami,Fallen,Femme
Megami,Avatar,Snake
Megami,Beast,Genma
Megami,Wilder,Fairy
Megami,Genma,Beast
Megami,Fairy,Wilder
Megami,Tyrant,Omega
Megami,Kishin,Touki
Megami,Touki,Avian
Megami,Jaki,Femme
Megami,Femme,Divine
Megami,Ghost,Vile
Megami,Fiend,Omega
Megami,Hero,Tyrant
Deity,Omega,Tyrant
Deity,Megami,Kishin
Deity,Deity,Flaemis
Deity,Vile,Tyrant
Deity,Snake,Omega
Deity,Dragon,Vile
Deity,Divine,Megami
Deity,Avian,Femme
Deity,Fallen,Kishin
Deity,Avatar,Jaki
Deity,Beast,Avian
Deity,Wilder,Touki
Deity,Genma,Wilder
Deity,Fairy,Snake
Deity,Tyrant,Vile
Deity,Kishin,Fairy
Deity,Touki,Kishin
Deity,Jaki,Tyrant
Deity,Femme,Dragon
Deity,Ghost,Fairy
Deity,Fiend,Tyrant
Deity,Hero,Kishin
Vile,Omega,Dragon
Vile,Megami,Omega
Vile,Deity,Tyrant
Vile,Vile,Aeros
Vile,Snake,Deity
Vile,Dragon,Tyrant
Vile,Divine,Avian
Vile,Avian,Jaki
Vile,Fallen,Avian
Vile,Avatar,Tyrant
Vile,Beast,Dragon
Vile,Wilder,Fallen
Vile,Genma,Kishin
Vile,Fairy,Touki
Vile,Tyrant,Deity
Vile,Kishin,Jaki
Vile,Touki,Genma
Vile,Jaki,Genma
Vile,Femme,Tyrant
Vile,Ghost,Deity
Vile,Fiend,Kishin
Vile,Hero,Omega
Snake,Omega,Kishin
Snake,Megami,Fairy
Snake,Deity,Omega
Snake,Vile,Deity
Snake,Snake,Aquans
Snake,Dragon,Wilder
Snake,Divine,Megami
Snake,Avian,Vile
Snake,Fallen,Megami
Snake,Avatar,Deity
Snake,Beast,Avatar
Snake,Wilder,Touki
Snake,Genma,Deity
Snake,Fairy,Beast
Snake,Tyrant,Dragon
Snake,Kishin,Divine
Snake,Touki,Kishin
Snake,Jaki,Divine
Snake,Femme,Fallen
Snake,Ghost,Dragon
Snake,Fiend,Megami
Snake,Hero,Deity
Dragon,Omega,Touki
Dragon,Megami,Jaki
Dragon,Deity,Vile
Dragon,Vile,Tyrant
Dragon,Snake,Wilder
Dragon,Dragon,Flaemis
Dragon,Divine,Fallen
Dragon,Avian,Femme
Dragon,Fallen,Beast
Dragon,Avatar,Ghost
Dragon,Beast,Jaki
Dragon,Wilder,Genma
Dragon,Genma,Fallen
Dragon,Fairy,Fallen
Dragon,Tyrant,Ghost
Dragon,Kishin,Genma
Dragon,Touki,Wilder
Dragon,Jaki,Avian
Dragon,Femme,Ghost
Dragon,Ghost,Wilder
Dragon,Fiend,Snake
Dragon,Hero,Divine
Divine,Omega,Deity
Divine,Megami,Avatar
Divine,Deity,Megami
Divine,Vile,Avian
Divine,Snake,Megami
Divine,Dragon,Fallen
Divine,Divine,Aeros
Divine,Avian,Snake
Divine,Fallen,Tyrant
Divine,Avatar,Megami
Divine,Beast,Avatar
Divine,Wilder,Avatar
Divine,Genma,Dragon
Divine,Fairy,Avatar
Divine,Tyrant,Deity
Divine,Kishin,Femme
Divine,Touki,Beast
Divine,Jaki,Kishin
Divine,Femme,Megami
Divine,Ghost,Avian
Divine,Fiend,Vile
Divine,Hero,Megami
Avian,Omega,Kishin
Avian,Megami,Divine
Avian,Deity,Femme
Avian,Vile,Jaki
Avian,Snake,Vile
Avian,Dragon,Femme
Avian,Divine,Snake
Avian,Avian,Aeros
Avian,Fallen,Megami
Avian,Avatar,Divine
Avian,Beast,Genma
Avian,Wilder,Snake
Avian,Genma,Divine
Avian,Fairy,Snake
Avian,Tyrant,Avatar
Avian,Kishin,Deity
Avian,Touki,Beast
Avian,Jaki,Avatar
Avian,Femme,Divine
Avian,Ghost,Beast
Avian,Fiend,Megami
Avian,Hero,Divine
Fallen,Omega,Vile
Fallen,Megami,Femme
Fallen,Deity,Kishin
Fallen,Vile,Avian
Fallen,Snake,Megami
Fallen,Dragon,Beast
Fallen,Divine,Tyrant
Fallen,Avian,Megami
Fallen,Fallen,Erthys
Fallen,Avatar,Touki
Fallen,Beast,Femme
Fallen,Wilder,Dragon
Fallen,Genma,Tyrant
Fallen,Fairy,Divine
Fallen,Tyrant,Omega
Fallen,Kishin,Jaki
Fallen,Touki,Avian
Fallen,Jaki,Beast
Fallen,Femme,Dragon
Fallen,Ghost,Fairy
Fallen,Fiend,Genma
Fallen,Hero,Tyrant
Avatar,Omega,Wilder
Avatar,Megami,Snake
Avatar,Deity,Jaki
