Fusion Material 1,Fusion Material 2,Fusion Result
Megami,Megami,Aquans
Megami,Deity,Kishin
Megami,Vile,Deity
Megami,Snake,Fairy
Megami,Dragon,Jaki
Megami,Divine,Avatar
Megami,Avian,Divine
Megami,Fallen,Femme
Megami,Avatar,Snake
Megami,Beast,Genma
Megami,Wilder,Fairy
Megami,Genma,Beast
Megami,Fairy,Wilder
Megami,Tyrant,Deity
Megami,Kishin,Touki
Megami,Touki,Avian
Megami,Jaki,Femme
Megami,Femme,Fallen
Deity,Megami,Kishin
Deity,Deity,Flaemis
Deity,Vile,Tyrant
Deity,Snake,Divine
Deity,Dragon,Vile
Deity,Divine,Megami
Deity,Avian,Femme
Deity,Fallen,Kishin
Deity,Avatar,Jaki
Deity,Beast,Avian
Deity,Wilder,Touki
Deity,Genma,Wilder
Deity,Fairy,Snake
Deity,Tyrant,Vile
Deity,Kishin,Fairy
Deity,Touki,Kishin
Deity,Jaki,Tyrant
Deity,Femme,Dragon
Vile,Megami,Deity
Vile,Deity,Tyrant
Vile,Vile,Aeros
Vile,Snake,Deity
Vile,Dragon,Tyrant
Vile,Divine,Avian
Vile,Avian,Jaki
Vile,Fallen,Avian
Vile,Avatar,Tyrant
Vile,Beast,Dragon
Vile,Wilder,Fallen
Vile,Genma,Kishin
Vile,Fairy,Touki
Vile,Tyrant,Deity
Vile,Kishin,Jaki
Vile,Touki,Genma
Vile,Jaki,Genma
Vile,Femme,Tyrant
Snake,Megami,Fairy
Snake,Deity,Divine
Snake,Vile,Deity
Snake,Snake,Aquans
Snake,Dragon,Wilder
Snake,Divine,Megami
Snake,Avian,Vile
Snake,Fallen,Megami
Snake,Avatar,Deity
Snake,Beast,Avatar
Snake,Wilder,Touki
Snake,Genma,Megami
Snake,Fairy,Beast
Snake,Tyrant,Dragon
Snake,Kishin,Divine
Snake,Touki,Kishin
Snake,Jaki,Avatar
Snake,Femme,Fallen
Dragon,Megami,Jaki
Dragon,Deity,Vile
Dragon,Vile,Tyrant
Dragon,Snake,Wilder
Dragon,Dragon,Flaemis
Dragon,Divine,Fallen
Dragon,Avian,Femme
Dragon,Fallen,Beast
Dragon,Avatar,Jaki
Dragon,Beast,Jaki
Dragon,Wilder,Genma
Dragon,Genma,Fallen
Dragon,Fairy,Fallen
Dragon,Tyrant,Fallen
Dragon,Kishin,Genma
Dragon,Touki,Wilder
Dragon,Jaki,Avian
Dragon,Femme,Genma
Divine,Megami,Avatar
Divine,Deity,Megami
Divine,Vile,Avian
Divine,Snake,Megami
Divine,Dragon,Fallen
Divine,Divine,Aeros
Divine,Avian,Snake
Divine,Fallen,Tyrant
Divine,Avatar,Megami
Divine,Beast,Avatar
Divine,Wilder,Avatar
Divine,Genma,Dragon
Divine,Fairy,Avatar
Divine,Tyrant,Vile
Divine,Kishin,Femme
Divine,Touki,Beast
Divine,Jaki,Kishin
Divine,Femme,Megami
Avian,Megami,Divine
Avian,Deity,Femme
Avian,Vile,Jaki
Avian,Snake,Vile
Avian,Dragon,Femme
Avian,Divine,Snake
Avian,Avian,Aeros
Avian,Fallen,Megami
Avian,Avatar,Divine
Avian,Beast,Genma
Avian,Wilder,Snake
Avian,Genma,Divine
Avian,Fairy,Snake
Avian,Tyrant,Avatar
Avian,Kishin,Deity
Avian,Touki,Beast
Avian,Jaki,Avatar
Avian,Femme,Avatar
